ID,Silcton ID,Pilot,Condition,Date,Time Arrived,Time Done,Experimenter_initials,,Tasks_done,Notes,First_Building_in_model building
2045,2045,No,Compass,4/18/2022,5:13 PM,6:24 PM,EY,,"NSQ; SBSOD; Demographics; VGQ; A,B,C1,C2,Pointing with and without compass (orientation of compass normal and along route)",Asked about VR while signing the IRB form. Askeed if she needs to learn t he names of the buildings before starting to walk. Reclarified. Had to reclarify the pointing task and compass north. ,Sauer Center
2046,2046,No,Compass,4/19/2022,2:02 PM,2:54 PM,MG,,"NSQ; SBSOD; Demographics; VGQ; A,B,C1,C2,Pointing with and without compass (orientation of compass normal and along route)","good at walking, said this was the most interesting study he had been to, at one point the harness wasn’t tight enough so it was turned but he fixed it ",Sauer Center
2047,2047,No,Compass,4/19/2022,3:23 PM,4:28 PM,MG,,"NSQ; SBSOD; Demographics; VGQ; A,B,C1,C2,Pointing with and without compass (orientation of compass normal and along route)",slow at walking,Sauer Center
2048,2048,No,Mountains,4/20/2022,11:51 AM,1:07 PM,EY,,"NSQ; SBSOD; Demographics; VGQ; A,B,C1,C2,Pointing with and without compass (orientation of compass normal and along route)",He seems to pay attention to the survey. He was excited about VR when first got in. I showed him to lean forward during the testing scene. ,Batty House
2049,2049,No,Mountains,4/20/2022,1:11 PM,x,EY,,"NSQ; SBSOD; Demographics; VGQ; A,B,C1,C2,Pointing with and without compass (orientation of compass normal and along route)",She asked for reclarification before walking. ,
2050,2050,No,Mountains,6/30/2022,10:25 AM,11:29 AM,EY,,"NSQ; SBSOD; Demographics; VGQ; A,B,C1,C2,Pointing with and without compass (orientation of compass normal and along route)","Base station error 10010. Still running the subject. Blank once on Sauer center. She said she forgot one of the buildings. Told her to go back. She went to Sauer Center. Blank once again third. Fourt, fifth on the second connecting route.  6th, when she is facing the base station with the error. 7th. 8th. 9th. Looking around updates it. 11th. ",Golledge Hall
2051,2051,No,Compass,6/30/2022,11:35 AM,12:42 PM,EY,,"NSQ; SBSOD; Demographics; VGQ; A,B,C1,C2,Pointing with and without compass (orientation of compass normal and along route)",Base station error. Looks interested in the VR treadmill. Said that walking is ok but slow during th etraining. Twice blank. Walked back to Harris Hall. Doesn’t look at the compass. Laser pointer was not showing during the pointing task cause he was blocking the working base station. ,Golledge Hall
2052,2052,No,Mountains,7/1/2022,8:57 AM,10:06 AM,EY,,"NSQ; SBSOD; Demographics; VGQ; A,B,C1,C2,Pointing with and without compass (orientation of compass normal and along route)",Asked whether she needs to learn the other buildings. She accidentally pointed for the first pointing task while changine controllers. ,
2053,2053,No,Compass,7/1/2022,10:24 AM,11:21 AM,EY,,"NSQ; SBSOD; Demographics; VGQ; A,B,C1,C2,Pointing with and without compass (orientation of compass normal and along route)",Didn't look at the compass. Seems like she's not studied the buildings during the pointing task. Asked about credits later. ,Golledge Hall
2054,2054,No,Mountains,7/1/2022,11:57 AM,1:05 PM,MG,,"NSQ; SBSOD; Demographics; VGQ; A,B,C1,C2,Pointing with and without compass (orientation of compass normal and along route)","was wearing a dress so no leg harness but we tightened the waist, struggled with walking at first, seemed to hover foot instead of sliding, during 2nd route stated that they didn’t note the 3rd building so they went back",Golledge Hall
2055,2055,No,Compass,7/1/2022,1:23 PM,n/a,MG,,"NSQ; SBSOD; Demographics; VGQ; A,B,C1,C2,Pointing with and without compass (orientation of compass normal and along route)","accidentally clicked the final questionnaire in the beginning so they had to stop and switch to the correct form, was too nauseas and left",n/a
2056,2056,No,Mountains,7/1/2022,2:42 PM,3:52 PM,MG,,"NSQ; SBSOD; Demographics; VGQ; A,B,C1,C2,Pointing with and without compass (orientation of compass normal and along route)",mentioned they get dizzy without glasses but still chose not to wear them.,Golledge Hall
2057,2057,No,Compass,7/1/2022,4:27 PM,5:34 PM,MG,,"NSQ; SBSOD; Demographics; VGQ; A,B,C1,C2,Pointing with and without compass (orientation of compass normal and along route)","had lots of questions was very excited, said ""just remebered I had a compass""",Batty House
2058,2058,No,Mountains,7/2/2022,10:28 AM,11:34 AM,EY,,"NSQ; SBSOD; Demographics; VGQ; A,B,C1,C2,Pointing with and without compass (orientation of compass normal and along route)",Asked if she needs to point to the sign of the buildings. ,Batty House
2059,2059,No,Compass,7/2/2022,12:07 PM,1:15 PM,EY,,"NSQ; SBSOD; Demographics; VGQ; A,B,C1,C2,Pointing with and without compass (orientation of compass normal and along route)","Said that she gets motionsick easily before going into VR. She said that she's walking real slow. She was not sure if she learned all four ""Can I go back?"". Walked back. Took a breather, sayin the its too hot. Took two more breaks cause its hot, not too motionsick. ",Batty House
2060,2060,No,Mountains,7/5/2022,9:33 AM,10:32 AM,EY,,"NSQ; SBSOD; Demographics; VGQ; A,B,C1,C2,Pointing with and without compass (orientation of compass normal and along route)",Thought the VR set up was cool. Good at walking. ,Batty House
2061,2061,No,Compass,7/5/2022,10:54 AM,11:51 AM,EY,,"NSQ; SBSOD; Demographics; VGQ; A,B,C1,C2,Pointing with and without compass (orientation of compass normal and along route)",She's not really leaning forward while walking. ,Batty House
2062,2062,No,Mountains,7/5/2022,12:25 PM,2:01 PM,MG,,"NSQ; SBSOD; Demographics; VGQ; A,B,C1,C2,Pointing with and without compass (orientation of compass normal and along route)","base station was glitching during first route, issues was fixed, on route 2 he walked back to see the third building, on route 3 he walked back a bit to look at the buildings again, took a very long time on the pointing task",Golledge Hall
2063,2063,No,Compass,7/5/2022,2:04 PM,3:05 PM,MG,,"NSQ; SBSOD; Demographics; VGQ; A,B,C1,C2,Pointing with and without compass (orientation of compass normal and along route)",walked very slowly,Batty House
2064,2064,No,Mountains,7/5/2022,3:29 PM,4:34 PM,MG,,"NSQ; SBSOD; Demographics; VGQ; A,B,C1,C2,Pointing with and without compass (orientation of compass normal and along route)",on the second route went back to the first buidling,Batty House
2065,2065,No,Compass,7/5/2022,4:45 PM,5:39 PM,MG,,"NSQ; SBSOD; Demographics; VGQ; A,B,C1,C2,Pointing with and without compass (orientation of compass normal and along route)","struggled walking and wouldn't lean forward, tried walking with one foot, didn't feel like he look at the names of the buildings but told me he knew them all",Batty House
2066,2066,No,Mountains,7/7/2022,9:26 AM,10:28 AM,MG,,"NSQ; SBSOD; Demographics; VGQ; A,B,C1,C2,Pointing with and without compass (orientation of compass normal and along route)","talking to himself, good at walking",Golledge Hall
2067,2067,No,Compass,7/11/2022,9:29 AM,10:52 AM,MG,,"NSQ; SBSOD; Demographics; VGQ; A,B,C1,C2,Pointing with and without compass (orientation of compass normal and along route)","thought the VR was cool, kept giggling, occasionally looked at compass, during third route the screen froze for a second but then fixed intself, said the leg harness was rubbing, took them off for the pointing task",Sauer Center
2068,2068,No,Mountains,7/11/2022,12:49 PM,1:51 PM,MG,,"NSQ; SBSOD; Demographics; VGQ; A,B,C1,C2,Pointing with and without compass (orientation of compass normal and along route)","lowered ring during testing scene, went back to look around on 1st and 2nd route",Batty House
2069,2069,No,Compass,7/12/2022,10:57 AM,12:35 PM,MG,,"NSQ; SBSOD; Demographics; VGQ; A,B,C1,C2,Pointing with and without compass (orientation of compass normal and along route)","seemed uncomfortable at first but figured walking out, looked around a lot ",Tobler Museum
2070,2070,No,Mountains,7/13/2022,9:01 AM,10:02 AM,MG,,"NSQ; SBSOD; Demographics; VGQ; A,B,C1,C2,Pointing with and without compass (orientation of compass normal and along route)","had a lot of questions, had to keep asking him to stop while I read directions",Lynch Station
2071,2071,No,Compass,7/13/2022,12:30 PM,n/a,MG,,"NSQ; SBSOD; Demographics; VGQ; A,B,C1,C2,Pointing with and without compass (orientation of compass normal and along route)","said it was uncomfortable so we raised the cage during route 1, on route 1 it was glitching for a moment so I reset the base station and it worked from then on, had to go back to harris hall on route 1, kept glitching and we stopped.",n/a
2072,2072,No,Mountains,7/15/2022,10:47 AM,12:07 PM,MG,,"NSQ; SBSOD; Demographics; VGQ; A,B,C1,C2,Pointing with and without compass (orientation of compass normal and along route)","said the headset was blurry during testing scene so we tightened the headset and he said it was fine, in pointing task he accidentally clicked the trigger once, asked if there was a mountain range",Batty House
2073,2073,No,Compass,7/18/2022,10:48 AM,11:48 AM,MG,,"NSQ; SBSOD; Demographics; VGQ; A,B,C1,C2,Pointing with and without compass (orientation of compass normal and along route)","had to quit steam vr because it wouldn’t run the room setup but worked the second time, in the fourth route he started walking backwords for a second and it made him move very fast I told him to walk normally but then he was at the finish line",Batty House
2074,2074,No,Mountains,7/19/2022,10:57 AM,12:00 PM,MG,,"NSQ; SBSOD; Demographics; VGQ; A,B,C1,C2,Pointing with and without compass (orientation of compass normal and along route)","walked slowly and seemed to hover foot when tired, got overheated a bit",Golledge Hall
2075,2075,No,Compass,7/19/2022,12:20 PM,1:35 PM,MG,,"NSQ; SBSOD; Demographics; VGQ; A,B,C1,C2,Pointing with and without compass (orientation of compass normal and along route)","had some trouble walking at first but got the hang of it, thought the vr was cool, was tired from walking",Batty House
2076,2076,No,Mountains,7/19/2022,1:57 PM,2:55 PM,MG,,"NSQ; SBSOD; Demographics; VGQ; A,B,C1,C2,Pointing with and without compass (orientation of compass normal and along route)",walked very fast and was crouched down so we raised the cage,Batty House
2077,2077,No,Compass,7/19/2022,4:48 PM,5:59 PM,MG,,"NSQ; SBSOD; Demographics; VGQ; A,B,C1,C2,Pointing with and without compass (orientation of compass normal and along route)","during omni calibration one of the controllers was not tracking but I unplugged the base stations and it worked, we recalibrated and had no issues after that, had to take a break because he got too hot",Lynch Station
2078,2078,No,Mountains,7/20/2022,9:30 AM,10:40 AM,MG,,"NSQ; SBSOD; Demographics; VGQ; A,B,C1,C2,Pointing with and without compass (orientation of compass normal and along route)","during pointing task, accidentally clicked the trigger once, was confused on the mountain range ",Golledge Hall
2079,2079,No,Compass,7/20/2022,2:30 PM,3:27 PM,MG,,"NSQ; SBSOD; Demographics; VGQ; A,B,C1,C2,Pointing with and without compass (orientation of compass normal and along route)","mentioned they have used VR before once, asked if he could walk with one leg, walked back to sauer center on first route, also went back on second route, ",Golledge Hall
2080,2080,No,Compass,7/21/2022,11:48 AM,1:18 PM,MG,,"NSQ; SBSOD; Demographics; VGQ; A,B,C1,C2,Pointing with and without compass (orientation of compass normal and along route)","asked if I could take a picture of them on the treamill, lowered the ring during the testing scene, talked to themselves, took a break before pointing task",Batty House
2081,2081,No,Compass,7/22/2022,11:01 AM,n/a,MG,,"NSQ; SBSOD; Demographics; VGQ; A,B,C1,C2,Pointing with and without compass (orientation of compass normal and along route)","struggled with walking, was walking forward but the monitor kept going backwards during testing scene, we tried to reset the treadmill but it didn’t work so we stopped. ",n/a
2082,2082,No,Compass,7/26/22022,10:57 AM,n/a,MG,,"NSQ; SBSOD; Demographics; VGQ; A,B,C1,C2,Pointing with and without compass (orientation of compass normal and along route)",the vr showed him walkaing backwords during omnicalibration but I reset everything and it still didn’t work so we stopped,n/a
2083,2083,No,Mountains,7/28/2022,9:35 AM,10:31 AM,MG,,"NSQ; SBSOD; Demographics; VGQ; A,B,C1,C2,Pointing with and without compass (orientation of compass normal and along route)",started walking on one leg during the second route,Batty House
2084,2084,No,Mountains,7/28/2022,12:38 PM,1:57 PM,MG,,"NSQ; SBSOD; Demographics; VGQ; A,B,C1,C2,Pointing with and without compass (orientation of compass normal and along route)","tried to run during omnicalibration, said that his balance felt off during training environment, said ""if I don’t go back the study will be over faster right?"" I told him he has to make note of all of the buildings, mentioned a compass would be helpful, went back on route 2 to harris hall, took a break before route 4, pressed finish during map task and he had to redo it :(",Sauer Center
