StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q17,Q131_1,Q131_2,Q131_3,Q131_4,Q131_8,Q21,Q133_11,Q133_3,Q133_1,Q133_2,Q133_4,Q133_5,Q133_6,Q133_7,Q133_8,Q133_13,Q133_14,Q133_9,Q133_10,Q133_12,Q22,Q138_1,Q138_2,Q138_3,Q138_4,Q138_5,Q23,General VR Interest,General VR Interest_2_TEXT,Q140,Q140_2_TEXT,Q143_24,Q142,Q26_2,Q26_1,Q26_4,Q26_3,Q27,Q144,Q23,Q145_1,Q145_2,Q145_3,Q145_4,Q145_5,Q145_6,Q145_7,Q145_8,Q24,Q185_1,Q185_2,Q185_3,Q185_8,Q185_4,Q185_5,Q185_6,Q185_7,Q186,Q146,Q147_1,Q149,Q150,Q153,Q19,Q151,Q154
2022-04-01 08:20:15,2022-04-01 11:36:28,IP Address,128.227.188.116,100,11772,True,2022-04-01 11:36:28,R_3Ey9t85V9QRNKvT,,,,,29.6824951171875,-82.36060333251953125,anonymous,EN,2014,60,20,10,20,0,N/A,70,60,20,70,40,60,10,5,5,10,5,100,95,80,N/A,90,90,80,75,75,N/A,No,2,Yes,,100,Yes,5,0,5,0,"I do not ever really use a compass. I tend to use GPS instead. I don't even really use N, W, S, E for directions, so a compass has never been my go-to tool",No,Yes,,,,,,,,,,80,0,70,95,20,20,80,51,"I used it as a reference point maybe once, but mostly used a specific building as the reference point during the pointing task.",Yes,5,"When I would walk and it would move me forward but my body could sense I was not actually moving anywhere. ",Nothing - it was very mild and mostly only a little disorientation in my head than anything,Disorientation,"Carsick sometimes, but not too often","No, only a little in the virtual environment",None
2022-04-01 13:54:39,2022-04-01 14:53:07,IP Address,128.227.188.116,100,3508,True,2022-04-01 14:53:08,R_2OZ8vqxqHMfXNkT,,,,,29.6824951171875,-82.36060333251953125,anonymous,EN,2015,93,12,0,9,8,The harness was a bit tight and I was a bit hot during the course of the experiment especially during the 2nd task. I was also putting some focus into making larger strides so that I would be able to go through the path more smoothly,60,81,16,17,93,8,1,18,0,0,0,30,40,84,"Was slightly hot and the harness was a bit tight. Also, my strides felt a lot larger than what was mirrored on the screen",95,69,23,0,23,n/a,Yes,,Yes,,72,No,28,0,27,0,"I am not experienced at all using a compass, and I do not use them regularly",Yes,No,20,31,7,8,80,59,70,10,n/a,,,,,,,,,,Yes,72,During the second task on the VR headset,I would try to make the walking motions on the treadmill mirror strides taken in real life more accurately.,"Most likely from exertion in the virtual environment, I had also just eaten","I get carsick when I am either reading or looking at my phone, and get seasick when the waves are very intense. I have never been airsick.","Both, but moreso in the room I was in",n/a
2022-04-04 10:24:56,2022-04-04 11:21:46,IP Address,128.227.188.116,100,3410,True,2022-04-04 11:21:46,R_sX9ob7OoCIjNarn,,,,,29.6824951171875,-82.36060333251953125,anonymous,EN,2016,81,0,6,5,0,,73,40,17,63,100,1,0,0,94,0,0,22,86,100,,100,15,9,0,63,,No,,Yes,,72,No,0,0,0,0,,No,Yes,,,,,,,,,,0,0,1,67,5,90,90,87,,Yes,82,When walking and looking at the path.,Maybe an easier way to walk.,I think a combination,no,yes,
2022-04-05 10:00:49,2022-04-05 11:24:35,IP Address,128.227.188.116,100,5026,True,2022-04-05 11:24:36,R_1itBudmWizON05n,,,,,29.682500000000000994759830064140260219573974609375,-82.360600000000005138645065017044544219970703125,anonymous,EN,2017,60,10,10,40,20,,71,62,22,22,50,50,50,20,41,40,25,70,85,96,,99,90,50,50,35,,Yes,,Yes,,60,Yes,100,10,31,0,,Yes,No,81,0,75,100,0,100,100,86,,,,,,,,,,,Yes,30,after the second virtual environment,way to lean forward less,VR in general,just seasick,room,
2022-04-06 07:31:23,2022-04-06 08:28:37,IP Address,128.227.188.116,100,3434,True,2022-04-06 08:28:38,R_3g78JrKEYkaCPiD,,,,,29.682500000000000994759830064140260219573974609375,-82.360600000000005138645065017044544219970703125,anonymous,EN,2018,60,10,10,10,10,,80,89,8,8,95,5,4,88,65,84,21,91,92,93,,94,61,83,56,95,,No,3,Yes,,90,Yes,91,10,12,10,,No,Yes,,,,,,,,,,8,9,10,11,12,96,95,10,,No,,,,,,The virtual environment,
2022-04-06 10:57:46,2022-04-06 12:15:08,IP Address,128.227.188.116,100,4641,True,2022-04-06 12:15:08,R_1ifVQVLXfrfMgzk,,,,,29.682500000000000994759830064140260219573974609375,-82.360600000000005138645065017044544219970703125,anonymous,EN,2019,23,12,5,18,18,"Environment too bright, steps too short. Felt nauseated by the middle of the simulation.",70,70,34,60,60,38,41,57,21,22,22,45,70,71,,71,71,73,73,73,,Yes,,Yes,,67,Yes,100,100,85,41,"As a child I was taught to use a compass both in school and by my parents. Since then the directions have come naturally and been useful throughout many maths courses. ",Yes,No,71,71,75,77,7,76,75,76,,,,,,,,,,,Yes,65,approx. halfway through the simulation,"Dimmer environment, longer steps ","Exertion, moving my head and torso heavily to see and change direction.",With moderation but generally no.,Virtual environment,
2022-04-11 07:46:27,2022-04-11 08:25:47,IP Address,128.227.188.116,100,2360,True,2022-04-11 08:25:48,R_0OkR4To3fpJK6Vr,,,,,29.613800048828125,-82.3860015869140625,anonymous,EN,2021,70,15,54,26,14,,80,59,62,34,58,38,60,63,39,34,44,35,75,65,,87,77,68,46,70,,Yes,,Yes,,61,No,80,71,71,11,,Yes,No,60,12,16,19,83,76,85,28,,,,,,,,,,,Yes,77,Following the first walk,I do not think it could be prevented in my case,virtual environment,carsick and on simulation rides at theme parks,virtual environment,
2022-04-11 08:27:42,2022-04-11 09:52:00,IP Address,128.227.188.116,100,5058,True,2022-04-11 09:52:01,R_roj5Rci9tjlxZZv,,,,,29.613800048828125,-82.3860015869140625,anonymous,EN,2022,60,30,20,20,20,I think genuinely the main aspect that was difficult was the treadmill itself as my legs were beginning to hurt and in doing so I payed less attention to the surroundings and more to how my body was doing.,60,66,37,78,55,65,43,25,25,36,32,33,68,43,Nothing else really effected my immersion other than what has already been mentioned.,75,77,40,61,62,,No,30,Yes,,75,Yes,66,68,41,19,I am in the rotc and i have to use compasses quite a bit however i am not entirely experienced in them and I would rather just use my phone for directions than a compass.,No,Yes,,,,,,,,,,40,34,41,39,35,39,66,55,I didn't really have to as I mostly forgot where the mountain range was entirely.,No,,,,,,Yes I did.,No I do not. thank you.
2022-04-11 09:55:05,2022-04-11 13:05:24,IP Address,128.227.188.116,100,11418,True,2022-04-11 13:05:24,R_2dGv10r9v8fM4E5,,,,,29.613800048828125,-82.3860015869140625,anonymous,EN,2023,83,60,13,27,17,Just focusing on following the arrow was hard because I am easily distracted,62,62,34,34,34,60,37,14,13,15,24,57,86,87,,82,0,1,0,0,,Yes,,Yes,,0,No,100,0,0,0,i have only seen one a few times ive never used one for navigation in real life,Yes,No,0,0,0,0,100,71,73,1,,,,,,,,,,,No,,,,,,virtual environment,no
2022-04-12 09:53:08,2022-04-12 10:51:03,IP Address,128.227.188.116,100,3475,True,2022-04-12 10:51:04,R_1MMnnsbGM2m6zlc,,,,,29.613800048828125,-82.3860015869140625,anonymous,EN,2024,19,11,21,45,43,"Motion sickness from the video game, nausea",83,61,42,42,85,30,31,61,0,0,0,1,85,86,,91,43,10,20,32,,No,2,Yes,,20,No,56,57,20,6,"I know how to use one, I just never utilize them in my day to day activities",No,Yes,,,,,,,,,,30,97,47,80,38,75,73,12,,Yes,89,5 minutes in,Shorter walks,Both,No,Somewhat,
2022-04-12 10:52:50,2022-04-12 12:25:59,IP Address,128.227.188.116,100,5589,True,2022-04-12 12:26:00,R_27NXyNcFmg8lZis,,,,,29.613800048828125,-82.3860015869140625,anonymous,EN,2025,58,27,0,0,26,following the path,66,91,40,14,50,13,13,45,55,40,41,75,75,76,,100,89,87,85,97,,No,3,Yes,,60,Yes,91,63,75,0,I do not use compasses daily,Yes,No,82,50,88,90,5,68,91,96,,,,,,,,,,,No,,,,,,the virtual environment,
2022-04-13 07:32:23,2022-04-13 11:38:17,IP Address,128.227.188.116,100,14753,True,2022-04-13 11:38:17,R_12LuPDFmFreXyMY,,,,,29.6138,-82.386,anonymous,EN,2026,66,54,45,80,73,,90,46,49,51,19,68,30,34,12,19,19,64,68,89,,68,35,3,3,7,,Yes,,Yes,,99,No,69,34,18,7,know generally how to use but not very practiced,No,Yes,,,,,,,,,,41,36,17,16,17,70,73,2,,Yes,64,"i get motion sick very easy and it was mostly towards the end ",not sure,probably the VR,yes always,both,no
2022-04-13 11:40:21,2022-04-13 13:33:00,IP Address,128.227.188.116,100,6758,True,2022-04-13 13:33:00,R_1l3uqibyTrl2xA5,,,,,29.6138,-82.386,anonymous,EN,2027,100,55,55,72,66,nausea,26,53,50,54,57,50,50,15,19,14,14,11,68,47,,83,43,9,30,29,,Yes,,Yes,,8,No,67,69,70,63,,Yes,Yes,23,79,64,45,59,68,64,67,,61,57,57,58,60,64,43,57,,Yes,100,turning around and when scenarios change,use one foot to slide on the treadmill to keep balance,I have no idea,I have carsick,virtual environment,no
2022-04-13 13:35:56,2022-04-13 14:58:30,IP Address,128.227.188.116,100,4954,True,2022-04-13 14:58:30,R_27fZou3RD48dXlE,,,,,29.6138,-82.386,anonymous,EN,2028,40,0,15,20,12,"It wasn't very difficult to stay on task after I got more comfortable walking on the treadmill. ",71,60,20,58,90,0,0,71,10,10,10,100,100,15,,100,85,50,40,31,,No,3,Yes,,71,Yes,9,0,5,0,"I have used a compass once or twice in my life but not for directions. Just during class assignments or activities. ",No,Yes,,,,,,,,,,60,30,30,49,20,80,90,30,,No,,,,,,"I feel oriented to both, I didn't feel any disorientation when switching between the room and the virtual reality. ",
2022-04-14 12:14:59,2022-04-14 13:16:53,IP Address,128.227.188.116,100,3714,True,2022-04-14 13:16:53,R_AvBBCfqMOdj6Bt7,,,,,29.6138,-82.386,anonymous,EN,2029,95,20,0,0,0,The multiple orange buildings were easy to mix up.,90,95,12,12,76,8,14,0,8,0,0,8,100,21,"I was getting tired by the time I was on the comparison walks, so all I could think about was finishing.",100,100,4,51,72,,No,5,Yes,,30,Yes,100,100,100,0,"I just think about things in relation to direction.  I actually usually think in relation to east because east is the only direction from my childhood home that had trees.  Every other direction was just sky, so I almost always know which direction I'm facing in relation to east.",Yes,No,100,0,100,100,0,100,100,100,I relied heavily on the compass.  When it was gone in the point test I had a very hard time.,,,,,,,,,,No,,,,,,"Yes, I knew at all times pretty much where I was facing in the room.",nope
2022-04-15 07:35:10,2022-04-15 08:35:07,IP Address,128.227.188.116,100,3596,True,2022-04-15 08:35:08,R_3NwVorptHcK3SAj,,,,,29.6138,-82.386,anonymous,EN,2030,43,19,15,39,12,The new experience of VR walking,56,76,27,28,67,19,18,60,32,64,68,69,72,40,Vision in VR made it hard to see signs from far away,81,82,43,42,60,,No,3,Yes,,71,Yes,90,55,62,35,In boy scouts I used a compass often,No,Yes,,,,,,,,,,64,65,63,44,34,61,69,42,,No,,,,,,Yes due to the instructor's voice I was oriented in the room.,
2022-04-15 08:37:36,2022-04-15 09:43:00,IP Address,128.227.188.116,100,3923,True,2022-04-15 09:43:01,R_3I4Vkgn8TJjaAbP,,,,,29.6138,-82.386,anonymous,EN,2031,100,0,0,2,20,I BELIEVE THAT IT WAS JUST THE WALKING THAT WAS THE HARDEST PART FOR ME,84,81,0,58,64,13,44,0,0,0,0,0,100,100,THE VISUALS WERE VERY REALISTIC,100,27,2,12,36,IM NOT VERY GOOD AT DIRECTIONS,Yes,,Yes,,82,Yes,0,0,0,0,"i have no experience using a compass, i am directionally challenged when it comes to a compass",Yes,No,98,1,12,55,0,58,53,58,only to recognize where batty house was,,,,,,,,,,Yes,8," when i was walking in the 3/4 part",eat something before hand,no,no,the virtual environment,"no, this was very interesting"
2022-04-15 14:38:19,2022-04-15 15:27:01,IP Address,128.227.188.116,100,2922,True,2022-04-15 15:27:02,R_w1NKzRJ89wH2mOJ,,,,,29.6138,-82.386,anonymous,EN,2033,82,18,17,57,39,"the virtualworld caused me to have blurry vision ",10,58,34,30,58,23,17,19,0,0,0,14,59,43,no,70,28,0,21,0,vision,No,1-2,Yes,,69,No,15,28,0,0,it was hard,Yes,No,100,58,58,39,0,25,49,37,na,,,,,,,,,,Yes,65,after 2 route,less routes,no other source,no,"no ",no
2022-04-16 06:52:32,2022-04-16 08:10:46,IP Address,128.227.188.116,100,4694,True,2022-04-16 08:10:47,R_3P7A1UrZkn4Ad0T,,,,,29.6138,-82.386,anonymous,EN,2034,75,70,40,56,26,Focusing on remembering everything's name artificially when it usually should come naturally.,29,79,34,28,70,23,44,17,9,12,10,31,62,69,N/A,64,70,28,19,25,N/A,No,5,Yes,,74,Yes,68,26,58,11,I used a compass as a child a lot.,No,Yes,,,,,,,,,,61,100,57,32,72,35,90,80,,Yes,40,During the second half,Eat before I come and breathe normally,Disorientation,Yes,room I am in,N/A
