ID,Silcton ID,Pilot,Compass_condition,Date,Time Arrived,Time Done,Experimenter_initials,,Tasks_done,Notes,First_Building_in_model building
13,11,No,Yes,9/22/2021,9:03 AM,10:01 AM,EY,,"Training without goals, Compass Routes, pointing task",Looks at the compass during learning (comment after the pointing task: maybe just walking looking down?). Changed hands (controller) for the compass and laser pointer. Does not look at the compass for pointing tasks. ,
14,12,No,No,9/23/2021,9:04 AM,10:10 AM,ZB,,"Training without goals, non-Compass Routes, pointing task","Started a bit late. Slow walking, taking time. A->B->C2->C1",
15,13,No,Yes,9/23/2021,11:57 AM,12:59 AM,ZB,,"Training without goals, Compass Routes, pointing task","Very slow at walking, otherwise went well. ",
16,14,No,No,9/24/2021,8:54 AM,9:48 AM,EY,,"Training without goals, non-Compass Routes, pointing task","Was very slowly walking so, told him he may lean on the ring more. Went back to double check one building. ",
17,15,No,Yes,9/24/2021,3:21 PM,4:25 PM,EY,,"Training without goals, Compass Routes, pointing task",She thought the VR set up is cool. Asked if she could go back at the end of the first route. Went back to the starting point to check the first building's name. Looks at the compass during second route. Does not use the compass during the pointing task. ,
18,,No,No,9/29/2021,9:15 AM,9:52 AM,EY,,"Training without goals, non-Compass Routes, pointing task","Change delay :(. So, the participant saw the env first but I had to stop the scene and run again from the start... She had motion sickness and left. ",
19,16,No,Yes,9/29/2021,11:58 AM,1:19 PM,EY,,"Training without goals, Compass Routes, pointing task","Looks around. In the finish line she said she did not make note of all four buildings on the route so, I said the task is to learn the names and locations of the buildings and she could go back… She seems disracted, looking at the environment, not so much to the buildings. Stops at the finish and studies the building locations there. Walked back on the third route. Looks up? Was not able to point to the first two buildings. She did say she was confused at first' her first time trying VR headset. ",
20,17,No,No,9/30/2021,3:04 PM,3:57 PM,ZB,,"Training without goals, non-Compass Routes, pointing task","Goes by Lucia. Did not take long in training environment. Taking very small steps. Asked about two doors and if she could not see door, was told to pick middle of building. B->A->C1->C2. Does not go completely to finish before she says she is done, but says she makes note of all 4 buildings.",
21,,No,Yes,10/1/2021,10:08 AM,10:43 AM,ZB,,"Training without goals, Compass Routes, pointing task","Loves the VR treadmill and is good at walking in it. Uses her hands to point to objects and locations to help remember (not asking any questions, just as a memory tool for herself). B->A->C1->C2    Dizzy at 10:31, took off headset to take a break. She is almost running though, so I think that is contributing to her dizziness. Went back to Harris to see more, and asked to be done with scene. Told her on C1 that if she takes smaller steps and does not run she may feel better. Naseau at 10:38, took off headset to take a break. Stopped at 10:43. I suggested she stop because she seemed nauseous, dizzy, and needed to sit down. She agreed and exited the treadmill and ended the study. I pointed her in the direction of a water fountatin and she nodded like she knew where it was, but she did not ask for anything else.  She said it seemed very hot in here, likely from her running in the treadmill and exerting herself while wearing a mask, but otherwise did not know why she was so dizzy. She left after putting on her shoes, and seemed to be walking fine.",
22,18,No,No,10/4/2021,Arrived at 8:50 AM Exp starting 9:27 AM,10:17 AM,EY,,"Training without goals, non-Compass Routes, pointing task","Did arrive on 8:50 and we were missing printed informed consent to had to wait around 25 min for that. ;(Asked about credit while reading the informed consent. Locomotion is not natural. Nearly runs, leans on the ring. He is so fast in the pointing task. He seems kind of bored. Asked about the credits after the experiment again. Asked him if he felt dizzy while running and he said no. ",
23,19,No,Yes,10/6/2021,10:59 AM,11:54 AM,EY,,"Training without goals, Compass Routes, pointing task","Told that this is her first time in VR. Walks really good on the treadmill, she is tall. Asked for clarification of instructions after I was done reading them. Noticed the Temple uni sign and told she is from Philly. Stops and looks back walking. She was  holding the controllers in reverse so I asked her if she wants to change hands, she said it's ok, she was just looking at north. While pointing, she does not turn all the way around but just turns above her waist. Started the model building task with Sauer Center. ",Sauer Center
24,20,No,No,7/10/2021,11:00 AM,12:00 PM,EY,,"Training without goals, non-Compass Routes, pointing task","Asked if mobile phone games are video games, I said yes? Looks around while learning. Slow in walking, did not really change her walking style. Looked at the little prince. Stops and looks back. Looks left and right left and right while in the connecting route. Confuses Batty with Harvey. She said she was more focused on trying to walk than buildings after I asked her about her experience postexperiment. ",Sauer Center
25,,No,Yes,8/10/2021,3:05 PM,I forgot to note this because she was sick and we stopped. She left around 4:30 though. ,EY,,"Training without goals, Compass Routes, pointing task","She said she plays ""multi-player online battle arena"" the ,most and was not on the qulatrics list. Before signing the IRB form, she said 'this looks like a VR setting, can I participate with my glasses?"" Walked to the first building sign while I was reading the instrcutions. Said twice that walking is interesting/hard? Is not really good at walking and looks very interested in the environment itself. Does not really step on the lip of the treadmill. After the first route, when I asked if she made note of the buildings, she described their facades and their names to me. Again after the second route: telling me the names of the buildings and colors. She stops at the end of the route and memorizes the buildings, also during the route. was looking bad and when I asked her if she is feeling good, she said yes first. After a couple of seconds, she said she is feeling nauseous. I suggested she takes a rest and she was looking kind of tired even sitting down. Offered her some water: asked me if she would get credit if she decides not to continue when I said she did not have to go on. She still was looking bad so, I got her some snacks from the vending machine. ",
26,21,No,No,10/13/2021,9:28 AM,10:24 AM,EY,,"Training without goals, non-Compass Routes, pointing task","He is good at walking, he is tall. Though he is not very fast and does not try to walk faster. He was pressing the button a little bit THEN adjust to the angle, not pressing and releasing at ONCE. Postexperiment: first time in VR, he said walking is slow. ",Golledge Hall
27,22,No,Yes,10/15/2021,11:03 AM,11:50 AM,EY,,"Training without goals, Compass Routes, pointing task","She seems interested in the VR setting. Said ""I didn't know I signed up for this."" excitedly when I was showing her the harness. She was kind of walking when I was reading her the instructions. Seems excited! Looks around. Never looks at the compass while walking. She tried to walk in the pointing task. Had to reclarify. Did not use the compass.",Batty House
28,23,No,No,10/15/2021,12:53 PM,1:43 PM,EY,,"Training without goals, non-Compass Routes, pointing task","He doesn’t take big steps even thought I told him even in the training environment to take bigger steps :D. So, not very fast in walking. Listens the instructions well. Double clicked during the pointing task by accident in front of the museum. ",Sauer Center
29,24,No,Yes,10/18/2021,12:59 PM,2:03 PM,EY,,"Training without goals, Compass Routes, pointing task",Stops and looks back in front of the last building. She stops and looks at the buildings. Slow in walking. Looked at the little prince sign. Stops and looks around during walking. Walked back in during the third route. Doesn't look at the compass during pointing task. ,Harvey House
30,25,No,No,10/20/2021,9:01 AM,9:51 AM,EY,,"Training without goals, non-Compass Routes, pointing task","She says she's slow in walking in the training and asked for reclarification of the instructions for walking on the treadmill. She seems excited to start the task, tried to walk while I was reading the instructions. She was really fast in the second route. She asked if she could have some water during the 4th route. Drank some, I offered some candy, got one of the mint ones. Decided to continue. Took of her glasses. She asked if she needed the controller while continuing. ",Batty House
31,26,No,Yes,10/20/2021,10:55 AM,12:04 PM,EY,,"Training without goals, Compass Routes, pointing task","She was REALLY slow in the training environment, even I was hesitant if she was walking :D. Then resolved the issue by using her heels to walk. She was confused after the instructions were read. I reclarified that the gems signal the buildings she needs to learn the names and locations of. She asked if the our of the virtual environment is ocean. I answered no, it is not rendering that part? She seems to look at what's around. Still slow in walking in the first route. Looked at the little prince sign. She is not really leaning forward while walking. She stopped to read the Dr. Lobo sign across the Harvey House. Accidentally pointed to Sauer center while standing next to Lynch /station. She seems to be very careful with the pointing task, slows down and adjusts the laser carefully. Does not use the compass. She was really good at model building. Spent minutes to build the map. Asked questions about the oreintations of the building. Postexperiment she explained she expected Lynch Station to be aligned with Batty House. I guess she was referring to the rectangle of Lynch Station being placed on the longer side vertical to the road? ",Sauer Center
32,27,No,No,10/22/2021,10:55 AM,11:48 AM,EY,,"Training without goals, non-Compass Routes, pointing task",Started walking to the first building sign when I was reading the instructions. Went normal.  ,Tobler Museum
33,28,No,Yes,10/22/2021,12:25 PM,1:34 PM,EY,,"Training without goals, Compass Routes, pointing task",She asked reclarifications after the instructions were read. Asked if she needs to memorize them llike east; north. Does not looks at the compass. Went back to see lynch station. She talks to herself while learning the buildings. ,Harvey House
34,29,No,No,10/22/2021,2:09 PM,3:02 PM,EY,,"Training without goals, non-Compass Routes, pointing task","She asked ""Am I at Temple Uni?"" Her grandpa is from there but she ahs not been before. Walking is not similar to natural. She does not lift her feet. So she is fast. ",Batty House
35,30,No,Yes,10/28/2021,10:29 AM,11:41 AM,EY,,"Training without goals, Compass Routes, pointing task","She thinks the VR setup is cool. Bad at walking, she was streching her legs so much that in the training environment she was going backwards. She was using only one leg for walking and I told her it's better if she uses both of her legs. She was in the finish after the second route and when I asked her if she learned all four buildings she could not remember the third one so she went back. Does't use the compass during pointing. ",Golledge Hall
36,,No,No,10/29/2021,9:30 AM,9:48 AM,EY,,"Training without goals, non-Compass Routes, pointing task",Asked for reclarification when started the task. Asked if he goes  into the gem.  Just in the tree (the one in the middle before Harvey House) he started walking backwards???? We were not able to fix it so he left. Resetting the headset fixed it. ,
37,,No,Yes,10/29/2021,10:58 AM,11:51 AM,EY,,"Training without goals, Compass Routes, pointing task","She seems to like the setup. She asked me for instructions while I was reading them (looks interested). I was waiting for her approval to change the scene at the end of the first route and she was waiting for me so we just spend a minute there. I thought she was studying the buildings. Took a break at 11:35 AM. She mentioned she did not get really motionsick. She thinks it might have been because of the mask, she got hot. She decided to continue. She is slow in walking. Decided to stop in the mid-route of third route. I gave her some water and candies. She left. ",
38,,No,No,11/3/2021,9:34 AM,10:13 AM,EY,,"Training without goals, non-Compass Routes, pointing task","He asked while reading the informed consent whether he is gonna receive full credit, even though he does not finish the study. I assumed he would show a distinterest in the study after he asked me that, but when he was goin in the treadmill, he told me he has a VR headset at home but this is sick. While running the omni calibration, he was not able to walk straight. We tried for a while. He still was not walking straight. So, I reset the headset multiple times. Checked the cables, did not fix it. However, when I tried it myself, I was able to walk straight. He watched me walking. Even after that he was still walking backwards. I did try myself walking again and still was able to walk straight. He tried again and he was not able to walk forward... He did not seem to be doing something different though, I am not sure what happened. We tried for approximately 18 min and I let him go. ",
39,31,No,Yes,11/3/2021,10:59 AM,12:21 PM,EY,,"Training without goals, Compass Routes, pointing task","She is slow in walking. She is able to walk straight so, I assume the previous participant did something wrong while walking. She felt motionsick around 11:35 (nearly at the end of the second route) and she wanted water. Ate caramel, ate a mint. She decided to continue. She told me she needed the credits, I informed her she would gget the credits even if she wants to stop. She said she was hot and it's ok. We chatted for a while, kind of personal stuff. She asked me whether I am a grad student and where I am from. Continuing at 11:42. Forgot to hand her the compass when she decided to continue. Realised at 11:46, handed her the compass. She said she feels alot better now. She took aniother break after the walking portion of the experiment. Drank water, had another mint, decided to continue. Walking done at 12:00. 12:15 survey start time. Done at 12:20. ",Golledge Hall
40,32,No,No,11/4/2021,10:39 AM,11:45 AM,EY,,"Training without goals, non-Compass Routes, pointing task","She is slow in walking. She asked if she that is suppose to happen (slow walking) in the training  environment. She got better in the middle of second route in walking. She was really fast in the first two routes, did not really study the buildings. Walking done at 11:28. She seems disengaged in the pointing task, very fast. ",Batty House
41,33,No,Yes,11/4/2021,11:46 AM,12:56 PM,EY,,"Training without goals, Compass Routes, pointing task","She is 6""2' and was walking backwards in omni calibration. We spent around 5 min to get everything right. I restarted the headset first, then turned the HMD off and on in the cable part. Reset the pods on the shoes. Talked to Zach. He suggested I should try our VE. She was still walking backwards in the training environment. Zach asked me to check if she leans forward while walking. I asked her to lean forward more and she was able to walk straight. She asked before entering th epointing task, can she use the compass controller for pointing. I said she would be using the one without the compass. ",Golledge Hall
42,,No,No,11/4/2021,2:53 PM,2:22 PM,EY,,"Training without goals, non-Compass Routes, pointing task","She asked in the training environment if this is the she is slow, is that normal? I answered, that's OK. In the beginning of the tasks, she asked whether she needs to collect all the gems. I reclarified. She seems very ill though. She apoligied for not being good on the task. She mentioned being a bit motionsick. She continues and she looked bad, she wanted to take a break. After removing the headset she seemed to lose her balance a bit. She did not continue the tasks. She was already ill so, I think it was good for her. She would have run hot if she completed the walking portion. ",
43,34,No,Yes,11/5/2021,9:38 AM,10:35 AM,EY,,"Training without goals, Compass Routes, pointing task","When running the omni calibration, he said ""This is sick."" He seems to be interested in the environment. He seems to enjoy VR. He literally tried to hit a gem with his compass. He started walking while I was reading the intsructions for the connecting routes. Walking done at 10:21 AM. ",Batty House
44,35,No,No,11/5/2021,11:09 AM,12:06 PM,EY,,"Training without goals, non-Compass Routes, pointing task","During the training world environment, he asked ""Am I suppose to walk this slow?"". I said he does not need to walk fast. He asked for reclarification after I read the first instructions. He asked if he needs to remember the faces of the buildings. I clarified by talking about the gem and the name. He asked again about the faces aand I said, that is up to you how you learn the buildings. While in front of Snow Church, he asked ""I only walk once, right?"" I answered ""You can walk back if you want to."". He is good at walking. I asked him if everything's OK and he answered if he can take off his sweatshirt. We stopped for a while for him to remove his sweatshirt. He also tightened the harness too. ",Batty House
45,36,No,Yes,11/5/2021,12:30 PM,1:34 PM,EY,,"Training without goals, Compass Routes, pointing task","She was wearing a sweatshirt and I informed her she might run hot in the envrionment and she said I'll take it off as I am already sweating. She asked if she needs to be walking this slow in the training world environment and I said she does not need to be fast. She turns around and looks back while learning. She studies them while looking back. She is slow in walking. She is not using the lip of the treadmill while walking after the halll. So, she is walking fast now. I corrected her to use the walking method that I showed her. She went back to using it. She went back to her walking method, not using the lip of the treadmill. She makes aaaah sounds while walking the last connecting route. She changed the controllers for the pointing task. She asked me the first direction and I told her she is not getting any feedback. She talks to herself while perfoeming the tasks like this is there so, this should be there.  She follows the road to define the directions. She seems very involved in the task. She literally reads every prompt. Does not use the compass. She asked while taking of the hanerss if she did good. I said I cannot say anything. ",Batty House
46,37,No,No,11/10/2021,10:57 AM,12:05 PM,EY,,"Training without goals, non-Compass Routes, pointing task","He is 6""2'. He was walking backwards in the training envrionment so, I told him to lean on the ring more and that solved the problem. He stops and studies the environment. Looks back and around. ",Batty House
47,38,No,Yes,11/10/2021,4:40 PM,5:42 PM,EY,,"Training without goals, Compass Routes, pointing task","She thought th eVR set up is cool. She was very bad at walking while trying to walk without the headset on so, I instructed her a bit more. While running the omni calibration, she said 'Walking on my toes helps. Next time, if people have a hard time walking, you can tell them that."" She is only using the back part of the treadmill. She is very fars in walking. She is not stepping on the lip of the treadmill. She asked ""Is it getting hot or is it just me?"" during the second route. I answered ""it gets hot when you are on the treadmill."" I read the same line twice by mistake while reading the pointing instructions. Pointing task: ""What if I cannot see the building?"". Reclarified. She does not seem to have learned the environment very well (pointing task). I was cleaning the controllers and she went on and did the map building task on her own, without waiting for my instrictions. ",
48,40,No,No,11/12/2021,9:30 AM,10:35 PM,EY,,"Training without goals, non-Compass Routes, pointing task","He tought the VR experiment is cool. While going in the treadmill he said ""this is cool technology."" ""Am I walking really slow?' during the training. He asked ""Are you seeing what I am seeing right now?"" in front of Lynch Station. He asked about the front door. He asked in front of the Temple Uni sign, ""Is this Temple?"" He asked ""What do I do in the finish line?"" I answered ""you tell me."" and changed the scene. He walked backwards to see Golledge Hall. He read Sauer Center out loud. He is looking back and studying the buildings. He asked again for the front door of the museum. He asked during the model building task: can we rotate the buildings?",Batty House
49,41,No,Yes,11/12/2021,1:14 PM,2:02 PM,EY,,"Training without goals, Compass Routes, pointing task",He is not lifting his feet while walking. But he also seems to have a slight walking disability. He seems to be more involved with walking. Heis very fast in the environment. He needed reclarifications for the pointing task. ,Sauer Center
50,42,No,No,11/15/2021,12:43 PM,1:54 PM,EY,,"Training without goals, non-Compass Routes, pointing task","I am sick today and I might be a little less interactive with the participant. He asked many questions. He asked for reclarifications after I read the instructions. He warushing durin the omni calibration and clicked done without reading the instructions. I had to restart the calibration twice.  He is wearing glasses but he asked to check if it is better if he wears the headset without glasses. He tried and decided to not wear them. He asked about getting paid, during the experiment: ""do you use this VR for more projects?"", ""How much is this headset?"". HE said if he needs to hold the controlle, what is it for? He asked if the environment is the same for everyone in front of the Temple sign. He said he's from Philly. He asked for water after the second route. At the start of the fourth route, he was using only one foot to walk and I told him it's better if he walks similar to a natural walking style. He corrected it. He is really slow in the environment. He accidentally pressed Sauer Center before starting the pointing task. He asked for reclarifications again. ",Batty House
51,43,No,Yes,11/15/2021,2:02 PM,2:52,EY,,"Training without goals, Compass Routes, pointing task","Durin the training: ""Am I supposed to be walking fast?"" He was really slow in the first route. He was using only one foot to walk and I intervened and said it's better if he walks naturally. He runs and stops for a while. Walking done at 2:38. ",Sauer Center
52,44,No,No,11/15/2021,3:31 PM,4:23 PM,EY,,"Training without goals, non-Compass Routes, pointing task","Asked "" What am I learning in the buildings""? ""Do I collect the gems?"" She asked at the end of the first connecting route, ""Do I follow the arrows on the road in this route too?"" I think she got confused because she was looking at the gems outside the route itself. ",Batty House
53,45,No,Yes,11/16/2021,1:35 PM,2:38 PM,EY,,"Training without goals, Compass Routes, pointing task","He told me he has a headset at home, Oculus and he wears the headset tighter. While running the calibration, he said ""that is cool"". Went back to check Batty House. He looks at the compass. He was using his hands to memorize the buildings at the end of the second route. He asked: "" I point to the building, not the sign? I answered the front door of the building. ""Do I stay in this location at all times?"" I answered: it does not matter if you see the building or not, you should have an idea about where it is. He looks at the compass during pointing, not much though, sometimes. ",Batty House
54,46,No,No,11/17/2021,8:50 AM,9:45 AM,EY,,"Training without goals, non-Compass Routes, pointing task",Very neutral. She seems to follow the instructions well. ,Batty House
55,47,No,Yes,11/17/2021,10:18 AM,11:26 AM,EY,,"Training without goals, Compass Routes, pointing task","""Do I just turn around and walk that way?"" ""Do I need to collect the gems?' ""Can I go backwards?"" She did not walk backwards though, I think she was trying turning around in the VE. She asked how many walkking routes left in after the second route. She needed reclarifications in the pointing task. Asked if she can rotate the buildings during the map building task.  ",Lynch Station
56,48,No,No,11/18/2021,10:08 AM,11:10 AM,EY,,"Training without goals, non-Compass Routes, pointing task","He was walking backwards in the beginning of the first route so I told him to lean on the ring more. He is 6""1'. ",
57,49,No,Yes,11/18/2021,11:30 AM,12:14 PM,EY,,"Training without goals, Compass Routes, pointing task","During training"" How do I walk, I forgot?' I was sick today so, I stopped sometimes while reading the instructions. ",Sauer Center
58,50,No,No,11/29/2021,2:10 PM,2:59 PM,EY,,"Training without goals, non-Compass Routes, pointing task","Mid-route 1st, ""Do I need to collect the gems?"" Walking not very similar to the method I showed him. He leans on the ring much more, like flying. So, he is very fast in walking. HE started using the walking method that I showed him after the second route. Walking done at 2:43.",Batty House
59,51,No,Yes,11/29/2021,3:37 PM,4:34 PM,EY,,"Training without goals, Compass Routes, pointing task",She sometimes gets stuck on the road while walking. I asked her to lean forward more. That seemed to solve it. ,Batty House
60,52,No,No,11/30/2021,1:53 PM,2:52 PM,EY,,"Training without goals, non-Compass Routes, pointing task",He came in and asked if it is possible for him to leave early from the study cause he has an apartment listing at 3.30 PM. I guess that is why he was very fast in answering the SBSOD questionnaire. He was very slow so I told him to lean forward more. Still very slow on the first route. ,Golledge Hall
61,53,No,Yes,11/30/2021,3:59 PM,4:41 PM,EY,,"Training without goals, Compass Routes, pointing task","He is tall (6""2') but, did not have any problems with walking. He is good at walking in the treadmil, Leans forward a lot. He seemed very disengaged in the tasks… ",Batty House
62,54,No,No,12/1/2021,8:58 AM,9:51 PM,EY,,"Training without goals, non-Compass Routes, pointing task","He is chatty. He said 'Is this a torture device?' for the VR lol. He did not walk much in the training world environment and I asked ""Are you sure?"" he took like 3 more steps and said yes. He was looking around in the start of the second route and I told him to turn around and he was like yeah, I am looking around. He asked some random questions likke ""Can you see what I am seeing? Are you enjoying this as much as I do? How many subjects do talk while walking?"" He continued to ask questions so I told him we could chat after. ""Does it say how far I walked?"" :D ",Lynch Station
63,55,No,Yes,12/1/2021,10:19 AM,11:13 AM,EY,,"Training without goals, Compass Routes, pointing task",She wanted to take a break in the beginning of the third route asking if she needs to start over or she can take a break. She said she is getting a bit claustrophobic. I gave her water. She continued. She needed reclarifications during the pointing task. She asked what if she got it wrong. I reclarified. ,Batty House
64,56,No,No,12/1/2021,3:05 PM,3:53 PM,EY,,"Training without goals, non-Compass Routes, pointing task",She asked if she should be walking this fast in the training environment. She was walking backwards at first so I told her to lean forward more. She was using only one feet so I told her it's better if she walks. ,Sauer Center
65,57,No,Yes,12/2/2021,10:01 AM,11:02 AM,EY,,"Training without goals, Compass Routes, pointing task","She asked ""Is there any way to be faster?"" I said you don’t need to be fast. She did not want to walk to the finish line on route 3. I told her to go to the finish. She told me she has a headache. She does not seem to learned the environment. She's bad at the pointing task. I saw her answering the survey that she got sick. She said she gets easily motion sick and with walking it was worse?",Golledge Hall
66,58,No,No,12/2/2021,2:39 PM,3:31 PM,EY,,"Training without goals, non-Compass Routes, pointing task","""Do I collect the gems or do I just walk?"" He is very fast in walking. He is 6""1'. I asked him if he made note of all four buildings at the end of the second route and he said he thinks he missed one of them. I said ""you can go back."" He went to Harris Hall. ",Golledge Hall
67,59,No,Yes,12/3/2021,8:59 AM,10:03 AM,EY,,"Training without goals, Compass Routes, pointing task","This is definitely weird. Take bigger steps, walk faster?' In the training environment. He asked if he should be able to read the small sign on the Snow church. He stops and studyies the buildings at the end of the route. He reported that he used the compas to learn the environment. I asked him how he used it. He said he used the compass the look at which way he is facing and then he used this information to understand how the buildings are located. He also mentioned that the connecting routes helped him. ",Batty House
68,60,No,No,12/3/2021,10:28 AM,11:34 AM,EY,,"Training without goals, non-Compass Routes, pointing task",She is slow in walking. She does not have a really fluid motion in walking. She reads the prompt during the pointing task aloud. We chatted after the experiment and she mostly said the walking was very unnatural and it made it hard for he rto learn the names and locations cause she was trying to take bigger steps... ,Tobler Museum
69,61,No,Yes,12/3/2021,1:47 PM,2:39 PM,EY,,"Training without goals, Compass Routes, pointing task","I asked her at the end of the first route if she made note of all four buildings she replied ""Not the first one"" I told her she should learn all four buildings and she could go back. She wanted to take a break after finishing the second route. She asked for water and said she got nausous. She decided to continue. She took another quick break after the third route.  ",Harris Hall
70,,No,No,12/3/2021,3:07 PM,3:44 PM,EY,,"Training without goals, non-Compass Routes, pointing task",She said she learned 3 buildings so I told her she must learn all four. She is walking back. She told me she has a hip problem and it hurts. I told her not to force herself. She is continuing. She walked to Sauer Center. She said she had a hip surgery last year and it hurts to walk on the treadmill. She left. ,
71,62,No,Yes,12/6/2021,12:08 PM,1:00 PM,EY,,"Training without goals, Compass Routes, pointing task","He is not very fast, taking his time to study the buildings. He needed reclarification for the pointing task. ",Batty House
72,63,No,No,12/6/2021,1:43 PM,2:38 PM,EY,,"Training without goals, non-Compass Routes, pointing task","She was really good at walking in the training world environment. Before the pointing task, do I press buttons on both controllers? During the pointing task, ""so, I cant move, I just point?"" She was tracing the routes during the model building task. ",Batty House
73,64,No,Yes,12/6/2021,3:48 PM,4:39 PM,EY,,"Training without goals, Compass Routes, pointing task",She thinks the VR setup is cool. She is fast in walking. ,Golledge Hall
74,65,Yes,No,2/16/2022,1:05 PM,,EY,,"Training without goals, Compass Routes, pointing task",,
75,66,Yes,Yes,2/18/2022,,1:18,MG,,"Training without goals, Mountain Routes, pointing task","liked the mountains, walking portion ended at 1:07",Sauer Center
76,67,Yes,No,2/18/2022,,,MG,,"Training without goals, Mountain Routes, pointing task",,Lynch Station
77,68,Yes,Yes,2/21/2022,10:20,11:10,MG,,"Training without goals, Mountain Routes, pointing task",walking portion ended at 10:49,Batty House
78,,,No,,,,,,,,
79,,,Yes,,,,,,,,
80,,,No,,,,,,,,
