StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Study_Participant_ID,Virtual_Silcton_ID,Q2_Browser,Q2_Version,Q2_Operating System,Q2_Resolution,Q3,Q4,Q5,Q6,Q8,Q9,Q9_6_TEXT,Q10,Q10_4_TEXT,Q11,Q11_8_TEXT,Q22_1,Q23_1,Q24_1,Q25_1,Q26_1,Q27_1,Q28_1,Q29_1,Q30_1,Q31_1,Q32_1,Q33_1,Q34_1,Q35_1,Q36_1,Q63,Q63_3_TEXT,Q64,Q65,Q66,Q67,Q68,Q68_3_TEXT,Q69,Q69_3_TEXT,Q70,Q71,Q72,Q73,Q74,Q75,Q76,Q76_3_TEXT,Q37,Q38,Q39,Q40,Q41,Q42,Q43,Q44,Q45,Q46,Q47,Q48,Q49_1,Q49_2,Q49_3,Q49_4,Q50_0_GROUP,Q50_0_1_RANK,Q50_0_2_RANK,Q50_0_3_RANK,Q50_0_4_RANK,Q50_0_5_RANK,Q50_0_6_RANK,Q50_0_7_RANK,Q50_0_8_RANK,Q50_0_9_RANK,Q50_0_10_RANK,Q50_0_11_RANK,Q50_0_12_RANK,Q50_0_13_RANK,Q50_0_14_RANK,Q50_0_15_RANK,Q50_0_16_RANK,Q50_0_17_RANK,Q50_0_18_RANK,Q50_0_19_RANK,Q50_0_20_RANK,Q50_0_21_RANK,Q50_0_22_RANK,Q50_0_23_RANK,Q50_0_24_RANK,Q50_0_25_RANK,Q50_0_26_RANK,Q50_0_27_RANK,Q50_0_28_RANK,Q50_0_29_RANK
2021-09-03 13:14:55,2021-09-03 13:23:40,IP Address,128.227.206.219,100,524,True,2021-09-03 13:23:40,R_Dvp8a7Eil4apZZv,,,,,29.6824951171875,-82.36060333251953125,anonymous,EN,0010,,Edge,92.0.902.78,Windows NT 10.0,1920x1080,26,17,not english,right,female,woman,,heterosexual,,"hisp,white",,Strongly agree,Somewhat agree,Neutral,Strongly agree,Somewhat disagree,Somewhat disagree,Agree,Disagree,Neutral,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Map,,Yes,Yes,Very Rarely,Somewhat clearly,Landmarks,,Bird's Eye View,,Know it,Yes,Map,Often,Flexible,Somewhat easily,Scene at a time,,A little,not very skilled,No,,0,1-5,never,No,,Yes,never,1-5,Grand Theft Auto,Mario cart,Not Applicable,Not Applicable,"Arcade,Educational,Puzzle",,,1,,,2,,,,,,,,,,,3,,,,,,,,,,,,
2021-09-15 09:40:52,2021-09-15 09:51:31,IP Address,128.227.206.219,100,638,True,2021-09-15 09:51:31,R_2WTZPFyCrfbF0hb,,,,,29.6824951171875,-82.36060333251953125,anonymous,EN,0011,,Edge,92.0.902.78,Windows NT 10.0,1920x1080,25,15,english,right,male,man,,heterosexual,,asian,,Neutral,Somewhat disagree,Somewhat agree,Neutral,Disagree,Agree,Somewhat agree,Disagree,Agree,Somewhat agree,Neutral,Disagree,Somewhat disagree,Strongly disagree,Somewhat agree,Map,,No,Yes,Somewhat Often,Very clearly,Landmarks,,Bird's Eye View,,Know it,Rarely,Map,Often,Somewhat flexile,Somewhat easily,Maps,,A great deal,an expert,Yes,weekly,17,20+,daily,Yes,"PlayStation,PC/Mac,Mobile",Yes,daily,20+,Grand Theft Auto,Uncharted,Valkyria Chronicles,The Last of Us,"First-person shooter,Role-playing,Real-time and turn-based strategy",,,,,,,1,,,,,,,,,,,,,,3,2,,,,,,,
2021-09-17 10:59:31,2021-09-17 11:42:07,IP Address,128.227.206.219,100,2556,True,2021-09-17 11:42:08,R_2ScpMiHs2ToUHPb,,,,,29.6824951171875,-82.36060333251953125,anonymous,EN,0012,,Edge,93.0.961.47,Windows NT 10.0,1920x1080,22,16,english,right,male,man,,homosexual,,white,,Somewhat agree,Strongly disagree,Somewhat agree,Agree,Somewhat agree,Neutral,Neutral,Somewhat agree,Agree,Somewhat agree,Neutral,Strongly disagree,Somewhat agree,Agree,Disagree,Other:,both,Yes,Yes,Very Rarely,Very clearly,Landmarks,,Street-level,,Know it,Yes,Map,Often,Prefer the same route,Somewhat easily,Other:,both,A great deal,very good,Yes,weekly,14,20+,weekly,Yes,"Nintendo Switch,Xbox,Nintendo DS/3DS,Game Boy/Game Boy Color/Game Boy Advance,PC/Mac,Mobile",Yes,weekly,20+,minecraft,halo,pokemon,destiny,"First-person shooter,Real-time and turn-based strategy,Other (specify)",,,,,,,1,,,,3,,,,,,,,,,2,,,,,,,,
2021-09-22 06:56:50,2021-09-22 07:08:32,IP Address,128.227.206.219,100,701,True,2021-09-22 07:08:32,R_pNaIPIhNHTpn3ln,,,,,29.6824951171875,-82.36060333251953125,anonymous,EN,0013,,Edge,93.0.961.52,Windows NT 10.0,1920x1080,18,12,english,right,male,man,,heterosexual,,"black/afri-amer,hisp",,Somewhat disagree,Strongly agree,Agree,Agree,Somewhat agree,Neutral,Somewhat agree,Agree,Somewhat disagree,Agree,Neutral,Agree,Agree,Disagree,Neutral,Scene,,No,Somewhat,Very Rarely,Very clearly,Landmarks,,Street-level,,Neet to look around,Yes,Map,Often,Prefer the same route,Somewhat easily,Scene at a time,,A lot,moderately good,No,,8,6-10,daily,Yes,"Xbox,PC/Mac,Mobile",Yes,monthly,6-10,Minecraft,Nba 2k,GTA,Spiderman,"Sports,Adventure Fighting,Vehicular combat",,2,,,,,,,,,,,,,,,,,,,,,,,1,,,,3
2021-09-23 07:00:47,2021-09-23 07:19:35,IP Address,128.227.191.180,100,1128,True,2021-09-23 07:19:36,R_UhK58xSKk68pKUN,,,,,29.646697998046875,-82.328399658203125,anonymous,EN,0014,,Edge,93.0.961.52,Windows NT 10.0,1920x1080,18,12,english,right,male,man,,bisexual,,"hisp,white",,Agree,Disagree,Agree,Strongly agree,Agree,Neutral,Agree,Somewhat disagree,Somewhat agree,Somewhat agree,Disagree,Agree,Somewhat disagree,Somewhat agree,Strongly agree,Other:,Both,Yes,Yes,Very Rarely,Very clearly,Other:,"Both,  map directions with visuals along the way.",Bird's Eye View,,Know it,Somewhat,Map,Often,Flexible,Somewhat easily,Maps,,A moderate amount,not very skilled,No,,10,1-5,monthly,Yes,"PC/Mac,Mobile",Yes,few times a year,1-5,Mario Kart,Among Us,Halo,Zelda,"Adventure Fighting,Puzzle,Role-playing",,1,,,,,,,,,,,,,,,2,,,,,3,,,,,,,
2021-09-23 09:53:18,2021-09-23 10:04:47,IP Address,128.227.191.180,100,689,True,2021-09-23 10:04:48,R_21igS0DTyq4YGP0,,,,,29.646697998046875,-82.328399658203125,anonymous,EN,0015,,Edge,93.0.961.52,Windows NT 10.0,1920x1080,19,12,english,right,female,woman,,heterosexual,,white,,Agree,Neutral,Disagree,Agree,Disagree,Somewhat disagree,Somewhat agree,Disagree,Agree,Disagree,Somewhat disagree,Disagree,Disagree,Agree,Disagree,Map,,Yes,Yes,Very Rarely,Somewhat clearly,Landmarks,,Other:,both,Know it,Somewhat,Map,Often,Prefer the same route,Very easily,Maps,,None at all,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-24 06:46:17,2021-09-24 07:02:05,IP Address,128.227.114.30,100,947,True,2021-09-24 07:02:05,R_Rhw0iCazB9iVsRP,,,,,29.613800048828125,-82.3860015869140625,anonymous,EN,0016,,Edge,93.0.961.52,Windows NT 10.0,1920x1080,18,12,not english,not right,male,man,,bisexual,,hisp,,Neutral,Somewhat disagree,Neutral,Neutral,Somewhat agree,Somewhat disagree,Somewhat agree,Disagree,Somewhat agree,Neutral,Somewhat disagree,Disagree,Disagree,Somewhat agree,Somewhat disagree,Map,,Yes,Yes,Very Rarely,Somewhat clearly,Map Directions,,Bird's Eye View,,Some of each,Somewhat,Map,Sometimes,Prefer the same route,Somewhat easily,Maps,,A moderate amount,not very skilled,No,,4,10-15,weekly,No,,Yes,few times a year,6-10,Fortnite,League of Legends,,,"Action,First-person shooter,Mass. Multi. Online Games",1,,,,,,2,,,3,,,,,,,,,,,,,,,,,,,
2021-09-24 12:38:47,2021-09-24 13:29:11,IP Address,128.227.114.30,100,3024,True,2021-09-24 13:29:12,R_28ALc8RKRDjyVEL,,,,,29.613800048828125,-82.3860015869140625,anonymous,EN,0017,,Chrome,93.0.4577.82,Windows NT 10.0,1920x1080,18,12,english,right,female,woman,,heterosexual,,white,,Agree,Somewhat agree,Neutral,Neutral,Agree,Somewhat disagree,Somewhat agree,Disagree,Agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Disagree,Map,,Yes,Yes,Very Rarely,Somewhat clearly,Map Directions,,Bird's Eye View,,Know it,Rarely,Map,Sometimes,Somewhat flexile,Very easily,Maps,,A little,no skill,No,,3,1-5,few times a year,No,,Yes,never,0,n/a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-29 06:42:13,2021-09-29 07:25:04,IP Address,128.227.114.30,100,2571,True,2021-09-29 07:25:04,R_1KuUbts03UwFT08,,,,,29.613800048828125,-82.3860015869140625,anonymous,EN,0018,,Chrome,94.0.4606.61,Windows NT 10.0,1920x1080,18,12,english,right,female,woman,,heterosexual,,asian,,Somewhat disagree,Agree,Somewhat disagree,Somewhat disagree,Strongly disagree,Agree,Strongly disagree,Somewhat agree,Disagree,Strongly agree,Neutral,Somewhat agree,Strongly agree,Somewhat disagree,Somewhat agree,Scene,,No,Somewhat,Somewhat Often,Very clearly,Landmarks,,Street-level,,Know it,Yes,Directions,Often,Somewhat flexile,Not easily,Scene at a time,,A moderate amount,moderately good,No,,6,1-5,few times a year,No,,Yes,never,10-15,MarioKart,Minecraft,"Just Dance ","Animal Crossing ","City-building games,Adventure Fighting,Strategy",,2,,1,,,,,,,,,,,,,,3,,,,,,,,,,,
2021-09-29 09:27:53,2021-09-29 10:03:35,IP Address,128.227.114.30,100,2141,True,2021-09-29 10:03:35,R_8dcunYnH3IlQH9D,,,,,29.613800048828125,-82.3860015869140625,anonymous,EN,0019,,Chrome,94.0.4606.61,Windows NT 10.0,1920x1080,18,12,english,not right,female,woman,,heterosexual,,asian,,Somewhat disagree,Somewhat disagree,Somewhat disagree,Disagree,Somewhat disagree,Agree,Neutral,Somewhat disagree,Somewhat agree,Somewhat agree,Neutral,Strongly disagree,Somewhat agree,Agree,Somewhat disagree,Scene,,No,Yes,Somewhat Often,Very clearly,Landmarks,,Street-level,,Neet to look around,Somewhat,Map,Often,Prefer the same route,Not easily,Scene at a time,,A little,not very skilled,No,,1,1-5,weekly,Yes,"Nintendo Switch,Mobile",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-30 12:57:29,2021-09-30 13:09:39,IP Address,128.227.114.30,100,729,True,2021-09-30 13:09:39,R_2EsqPKxNeWcp8uf,,,,,29.613800048828125,-82.3860015869140625,anonymous,EN,0020,,Edge,94.0.992.31,Windows NT 10.0,1920x1080,18,12,english,right,female,woman,,do not wish to say,,hisp,,Disagree,Agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Strongly agree,Disagree,Agree,Agree,Strongly disagree,Agree,Scene,,No,Yes,Very Often,Hardly at all,Landmarks,,Street-level,,Some of each,Rarely,Map,Often,Prefer the same route,Not easily,Scene at a time,,None at all,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-10-01 07:55:13,2021-10-01 08:12:16,IP Address,128.227.114.30,100,1023,True,2021-10-01 08:12:17,R_1FS6yb05pH73FLX,,,,,29.613800048828125,-82.3860015869140625,anonymous,EN,0021,,Edge,94.0.992.31,Windows NT 10.0,1920x1080,18,12,english,right,female,woman,,bisexual,,white,,Somewhat disagree,Strongly agree,Disagree,Strongly disagree,Strongly disagree,Agree,Disagree,Somewhat agree,Somewhat disagree,Strongly agree,Agree,Agree,Agree,Strongly disagree,Strongly agree,Map,,No,No,Very Often,Very clearly,Landmarks,,Bird's Eye View,,Neet to look around,Somewhat,Directions,Often,Prefer the same route,Not easily,Maps,,None at all,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-10-04 06:54:25,2021-10-04 07:32:44,IP Address,128.227.114.30,100,2298,True,2021-10-04 07:32:44,R_1IXJChWGk8xGY6M,,,,,29.613800048828125,-82.3860015869140625,anonymous,EN,0022,,Chrome,94.0.4606.61,Windows NT 10.0,1920x1080,18,12,not english,right,male,man,,heterosexual,,white,,Somewhat disagree,Agree,Agree,Agree,Agree,Somewhat agree,Strongly agree,Somewhat disagree,Agree,Somewhat disagree,Neutral,Disagree,Somewhat disagree,Somewhat agree,Disagree,Map,,Yes,Yes,Very Rarely,Very clearly,Landmarks,,Bird's Eye View,,Some of each,Yes,Map,Often,Flexible,Somewhat easily,Maps,,A moderate amount,not very skilled,No,,1,1-5,monthly,No,,Yes,monthly,1-5,the witcher 3,"fifa ",league of legends,online chess,"Role-playing,Strategy,Sports",,,,,,,,,,,,,,,,,,2,,,,1,,,3,,,,
2021-10-06 08:45:35,2021-10-06 09:08:37,IP Address,128.227.114.30,100,1382,True,2021-10-06 09:08:37,R_1OW7gjXid5puMch,,,,,29.613800048828125,-82.3860015869140625,anonymous,EN,0023,,Chrome,94.0.4606.71,Windows NT 10.0,1920x1080,18,12,english,right,female,woman,,heterosexual,,white,,Somewhat disagree,Somewhat agree,Somewhat disagree,Neutral,Disagree,Somewhat agree,Somewhat disagree,Neutral,Disagree,Agree,Agree,Somewhat disagree,Strongly agree,Disagree,Somewhat disagree,Scene,,No,No,Somewhat Often,Very clearly,Landmarks,,Street-level,,Know it,Rarely,Map,Often,Prefer the same route,Not easily,Maps,,A little,not very skilled,No,,3,1-5,never,Yes,"Wii,PC/Mac,Mobile",Yes,never,1-5,mariocart,indiana jones,wii play,Not Applicable,"Racing,Sports,Action,Adventure Fighting,Strategy",3,4,,,,,,,,,,,,,,,,5,1,,,,,,2,,,,
2021-10-07 08:49:52,2021-10-07 09:08:58,IP Address,128.227.114.30,100,1145,True,2021-10-07 09:08:58,R_1C9qSvReYt00z2S,,,,,29.613800048828125,-82.3860015869140625,anonymous,EN,0024,,Chrome,94.0.4606.71,Windows NT 10.0,1920x1080,18,12,english,right,female,woman,,heterosexual,,white,,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Disagree,Agree,Disagree,Somewhat agree,Somewhat disagree,Agree,Somewhat disagree,Disagree,Somewhat agree,Neutral,Somewhat agree,Scene,,No,Somewhat,Somewhat Often,Very clearly,Landmarks,,Street-level,,Some of each,Somewhat,Directions,Often,Somewhat flexile,Not easily,Scene at a time,,A little,not very skilled,No,,8,1-5,monthly,Yes,Mobile,Yes,few times a year,1-5,,,,,"City-building games,Arcade,Racing",,,2,1,,,,,,,,,,,,,,,3,,,,,,,,,,
2021-10-08 12:50:24,2021-10-08 13:08:19,IP Address,128.227.114.30,100,1074,True,2021-10-08 13:08:19,R_1EZ4ObPeYAcr5QD,,,,,29.613800048828125,-82.3860015869140625,anonymous,EN,0025,,Chrome,94.0.4606.81,Windows NT 10.0,1920x1080,18,12,english,right,female,woman,,heterosexual,,asian,,Somewhat disagree,Somewhat agree,Disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Disagree,Strongly agree,Agree,Agree,Strongly agree,Strongly disagree,Strongly agree,Scene,,No,No,Very Often,Hardly at all,Landmarks,,Street-level,,Some of each,Somewhat,Directions,Often,Prefer the same route,Not easily,Scene at a time,,A great deal,moderately good,Yes,daily,around 8 years roughly,16-20,daily,Yes,"PC/Mac,Mobile",Yes,daily,16-20,World of Warcraft,League of Legends,Heroes of the Storm,Darkest Dungeon,"Mass. Multi. Online Games,Role-playing,Real-time and turn-based strategy",,,,,,,,,,1,,,,,,,,,,,3,2,,,,,,,
2021-10-13 07:14:48,2021-10-13 07:39:30,IP Address,128.227.114.30,100,1481,True,2021-10-13 07:39:30,R_25NO61cIzH6CNrI,,,,,29.613800048828125,-82.3860015869140625,anonymous,EN,0026,,Chrome,94.0.4606.81,Windows NT 10.0,1920x1080,18,12,english,right,male,man,,heterosexual,,white,,Agree,Disagree,Somewhat agree,Strongly disagree,Strongly disagree,Neutral,Somewhat disagree,Disagree,Somewhat agree,Agree,Strongly agree,Strongly agree,Agree,Somewhat disagree,Disagree,Scene,,Yes,Somewhat,Somewhat Often,Very clearly,Landmarks,,Street-level,,Know it,Somewhat,Map,Often,Flexible,Somewhat easily,Scene at a time,,A little,not very skilled,No,,4,10-15,monthly,Yes,"Nintendo Switch,Xbox",Yes,never,6-10,Doom,Mortal Kombat,Destiny,N/A,"Adventure Fighting,Mass. Multi. Online Games,First-person shooter",,1,,,,,3,,,2,,,,,,,,,,,,,,,,,,,
2021-10-15 08:47:20,2021-10-15 09:07:42,IP Address,128.227.114.30,100,1222,True,2021-10-15 09:07:42,R_AERjErYzWWaUASJ,,,,,29.650299072265625,-82.348602294921875,anonymous,EN,0027,,Chrome,94.0.4606.81,Windows NT 10.0,1920x1080,18,12,english,right,female,woman,,heterosexual,,"hisp,white",,Strongly agree,Neutral,Somewhat agree,Agree,Somewhat disagree,Somewhat disagree,Neutral,Somewhat disagree,Agree,Disagree,Neutral,Disagree,Somewhat agree,Agree,Somewhat disagree,Scene,,Yes,Yes,Somewhat Often,Very clearly,Landmarks,,Street-level,,Neet to look around,Yes,Map,Often,Flexible,Very easily,Scene at a time,,A little,not very skilled,No,,0,1-5,few times a year,No,,Yes,never,1-5,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-10-15 10:46:35,2021-10-15 11:00:37,IP Address,128.227.114.30,100,841,True,2021-10-15 11:00:37,R_6zmRXxBYMNdoU2B,,,,,29.650299072265625,-82.348602294921875,anonymous,EN,0028,,Chrome,94.0.4606.81,Windows NT 10.0,1920x1080,18,12,english,right,male,man,,heterosexual,,white,,Agree,Disagree,Somewhat agree,Somewhat agree,Neutral,Neutral,Agree,Disagree,Agree,Somewhat disagree,Disagree,Disagree,Disagree,Neutral,Somewhat disagree,Map,,Yes,Yes,Very Rarely,Somewhat clearly,Map Directions,,Bird's Eye View,,Know it,Somewhat,Map,Sometimes,Somewhat flexile,Very easily,Maps,,A moderate amount,moderately good,No,,6,6-10,few times a year,No,,Yes,few times a year,10-15,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-10-18 10:46:07,2021-10-18 11:07:41,IP Address,128.227.114.30,100,1293,True,2021-10-18 11:07:41,R_4J7YKzXSKeuMrbX,,,,,29.650299072265625,-82.348602294921875,anonymous,EN,0029,,Chrome,94.0.4606.81,Windows NT 10.0,1920x1080,18,12,english,right,female,woman,,heterosexual,,white,,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly disagree,Agree,Somewhat disagree,Somewhat disagree,Disagree,Somewhat agree,Neutral,Disagree,Agree,Somewhat disagree,Somewhat disagree,Map,,Yes,Somewhat,Very Rarely,Somewhat clearly,Landmarks,,Street-level,,Know it,Somewhat,Directions,Often,Prefer the same route,Somewhat easily,Maps,,A little,not very skilled,No,,2,6-10,monthly,No,,Yes,few times a year,6-10,Minecraft,Fortnite,Call of duty,not applicable,"Action,City-building games,First-person shooter",1,,,2,,,3,,,,,,,,,,,,,,,,,,,,,,
2021-10-20 06:52:21,2021-10-20 07:08:19,IP Address,128.227.114.30,100,957,True,2021-10-20 07:08:19,R_27EjPbGvE6R3Ojz,,,,,29.650299072265625,-82.348602294921875,anonymous,EN,0030,,Chrome,94.0.4606.81,Windows NT 10.0,1920x1080,18,12,english,not right,female,woman,,heterosexual,,white,,Agree,Somewhat agree,Neutral,Neutral,Disagree,Agree,Disagree,Neutral,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly agree,Somewhat disagree,Somewhat agree,Map,,No,Somewhat,Somewhat Often,Very clearly,Map Directions,,Street-level,,Some of each,Rarely,Directions,Sometimes,Flexible,Very easily,Scene at a time,,A little,not very skilled,No,,0,1-5,weekly,Yes,"Xbox,PC/Mac,Mobile",Yes,few times a year,1-5,beach buggy race,whale trail,slitherio,knight squad,"Sports,Arcade,Mass. Multi. Online Games",,,2,,,,,,,3,,,,,,,,,,,,,,,1,,,,
2021-10-20 08:39:07,2021-10-20 09:02:32,IP Address,128.227.114.30,100,1405,True,2021-10-20 09:02:33,R_3FLOCErvgaPvXn3,,,,,29.650299072265625,-82.348602294921875,anonymous,EN,0031,,Chrome,94.0.4606.81,Windows NT 10.0,1920x1080,18,12,english,right,female,woman,,heterosexual,,white,,Neutral,Disagree,Neutral,Somewhat agree,Strongly disagree,Agree,Disagree,Neutral,Neutral,Neutral,Agree,Strongly disagree,Strongly agree,Agree,Disagree,Other:,Both,No,Somewhat,Very Rarely,Very clearly,Landmarks,,Other:,Both,Know it,Rarely,Map,Often,Flexible,Not easily,Other:,Both,None at all,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-10-22 08:47:23,2021-10-22 09:01:05,IP Address,128.227.114.30,100,821,True,2021-10-22 09:01:05,R_1d6M0FNtFuIdb4G,,,,,29.650299072265625,-82.348602294921875,anonymous,EN,0032,,Chrome,94.0.4606.81,Windows NT 10.0,1920x1080,18,12,not english,right,female,woman,,heterosexual,,"hisp,white",,Agree,Somewhat agree,Somewhat disagree,Agree,Disagree,Somewhat disagree,Agree,Somewhat disagree,Somewhat agree,Disagree,Somewhat disagree,Strongly disagree,Somewhat disagree,Somewhat agree,Disagree,Scene,,Yes,Somewhat,Somewhat Often,Somewhat clearly,Landmarks,,Street-level,,Know it,Somewhat,No preference,Often,Somewhat flexile,Somewhat easily,Maps,,None at all,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-10-22 09:50:35,2021-10-22 10:32:46,IP Address,128.227.114.30,100,2530,True,2021-10-22 10:32:46,R_2abEcrObvLL1D2S,,,,,29.650299072265625,-82.348602294921875,anonymous,EN,0033,,Chrome,94.0.4606.81,Windows NT 10.0,1920x1080,18,12,english,right,female,woman,,heterosexual,,black/afri-amer,,Disagree,Somewhat disagree,Somewhat disagree,Disagree,Strongly disagree,Agree,Disagree,Somewhat agree,Neutral,Agree,Agree,Disagree,Strongly agree,Disagree,Somewhat agree,Scene,,No,Somewhat,Somewhat Often,Very clearly,Landmarks,,Bird's Eye View,,Know it,Somewhat,Directions,Often,Somewhat flexile,Somewhat easily,Maps,,A little,not very skilled,No,,2,6-10,few times a year,Yes,"PC/Mac,Mobile",Yes,never,0,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-10-22 11:49:46,2021-10-22 12:16:54,IP Address,128.227.114.30,100,1627,True,2021-10-22 12:16:54,R_1DRRw1PP3eKkzlb,,,,,29.650299072265625,-82.348602294921875,anonymous,EN,0034,,Chrome,94.0.4606.81,Windows NT 10.0,1920x1080,18,12,english,right,female,woman,,heterosexual,,white,,Strongly agree,Somewhat disagree,Somewhat agree,Agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Disagree,Somewhat agree,Somewhat agree,Somewhat agree,Disagree,Somewhat disagree,Agree,Disagree,Scene,,Yes,Yes,Somewhat Often,Very clearly,Landmarks,,Street-level,,Neet to look around,Somewhat,Map,Sometimes,Flexible,Very easily,Maps,,A little,moderately good,No,,1,1-5,few times a year,No,,Yes,never,1-5,Call of Duty,Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-10-28 08:11:23,2021-10-28 08:40:22,IP Address,128.227.114.30,100,1738,True,2021-10-28 08:40:22,R_2uVyxGiRS4V3ea2,,,,,29.650299072265625,-82.348602294921875,anonymous,EN,0035,,Chrome,95.0.4638.54,Windows NT 10.0,1920x1080,18,12,english,not right,female,woman,,heterosexual,,white,,Somewhat agree,Agree,Somewhat agree,Somewhat disagree,Strongly disagree,Agree,Somewhat agree,Disagree,Agree,Strongly disagree,Disagree,Strongly disagree,Neutral,Disagree,Neutral,Scene,,Yes,Somewhat,Very Rarely,Somewhat clearly,Landmarks,,Street-level,,Know it,Somewhat,Directions,Often,Flexible,Very easily,Maps,,A little,not very skilled,No,,5,1-5,few times a year,Yes,"Wii,PC/Mac,Mobile",Yes,never,1-5,Not Appliccable,,,,"Arcade,Puzzle",,,1,,,,,,,,,,,,,,2,,,,,,,,,,,,
2021-10-29 07:06:08,2021-10-29 07:37:01,IP Address,128.227.114.30,100,1852,True,2021-10-29 07:37:01,R_2cjBks3XozIuaDs,,,,,29.650299072265625,-82.348602294921875,anonymous,EN,0036,,Chrome,95.0.4638.54,Windows NT 10.0,1920x1080,19,12,english,right,male,man,,heterosexual,,white,,Agree,Disagree,Agree,Agree,Disagree,Disagree,Strongly agree,Disagree,Strongly agree,Disagree,Disagree,Disagree,Disagree,Agree,Disagree,Map,,Yes,Yes,Very Rarely,Very clearly,Map Directions,,Bird's Eye View,,Know it,Yes,Directions,Sometimes,Flexible,Somewhat easily,Maps,,A lot,very good,No,,15,16-20,weekly,Yes,"Xbox,PC/Mac",Yes,weekly,16-20,call of duty,grand theft auto,apex legends,nhl19,"Strategy war games,Sports,Adventure Fighting",,3,,,,,,,,,,,,,,,,,,,,,,,2,,1,,
2021-10-29 08:45:26,2021-10-29 09:05:33,IP Address,128.227.114.30,100,1206,True,2021-10-29 09:05:33,R_2y2UvGsZ9LvGpS1,,,,,29.650299072265625,-82.348602294921875,anonymous,EN,0037,,Chrome,95.0.4638.54,Windows NT 10.0,1920x1080,18,12,english,right,female,woman,,heterosexual,,asian,,Disagree,Agree,Neutral,Disagree,Disagree,Agree,Disagree,Somewhat agree,Disagree,Agree,Agree,Disagree,Somewhat agree,Disagree,Agree,Scene,,No,Somewhat,Somewhat Often,Very clearly,Landmarks,,Street-level,,Some of each,Somewhat,Map,Often,Somewhat flexile,Not easily,Scene at a time,,A moderate amount,not very skilled,No,,4,1-5,few times a year,Yes,"PC/Mac,Mobile",Yes,few times a year,1-5,"Minecraft ","Sims ",Not applicable," Not applicable","City-building games,Arcade,Simulators",,,2,1,,,,,,,,,,,,,,,,,,,3,,,,,,
2021-11-03 07:26:53,2021-11-03 07:44:46,IP Address,128.227.114.30,100,1073,True,2021-11-03 07:44:47,R_3en4bIQvJjUsf6V,,,,,29.650299072265625,-82.348602294921875,anonymous,EN,0038,,Chrome,95.0.4638.54,Windows NT 10.0,1920x1080,19,12,english,right,male,man,,heterosexual,,"black/afri-amer,hisp",,Somewhat agree,Strongly agree,Agree,Somewhat disagree,Disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Agree,Neutral,Disagree,Agree,Disagree,Neutral,Scene,,No,Somewhat,Very Rarely,Very clearly,Other:,GPS on phone,Street-level,,Some of each,Yes,No preference,Often,Somewhat flexile,Not easily,Other:,GPS on phone,A great deal,an expert,Yes,daily,14,10-15,daily,Yes,"PlayStation,Nintendo Switch,Xbox,Game Boy/Game Boy Color/Game Boy Advance,PC/Mac",Yes,daily,10-15,APEX Legends,Persona,Ghost of Tsushima,Breath of the Wild,"First-person shooter,Role-playing,Action",3,,,,,,1,,,,,,,,,,,,,,,2,,,,,,,
